CB_m1_0h	CB_m2_0h	CB_m3_0h	CB_m4_6h_flag	CB_m5_6h_flag	CB_m6_6h_flag	CB_m7_6h_aCD3	CB_m8_6h_aCD3	CB_m9_6h_aCD3	CB_m10_24h_flag	CB_m11_24h_flag	CB_m12_24h_flag	CB_m13_24h_aCD3	CB_m14_24h_aCD3	CB_m15_24h_aCD3
ID=fig|208479.6.peg.18;Name=N-acetyl-L%2CL-diaminopimelate deacetylase (EC 3.5.1.47);Ontology_term=KEGG_ENZYME:3.5.1.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.19;Name=N-acetyl-L%2CL-diaminopimelate deacetylase (EC 3.5.1.47);Ontology_term=KEGG_ENZYME:3.5.1.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.20;Name=N-acetyl-L%2CL-diaminopimelate deacetylase (EC 3.5.1.47);Ontology_term=KEGG_ENZYME:3.5.1.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.21;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.22;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.23;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.24;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.repeat.2;Name=repeat region	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.25;Name=Molybdopterin molybdenumtransferase (EC 2.10.1.1);Ontology_term=KEGG_ENZYME:2.10.1.1	12	22	16	14	30	6	32	4	8	26	28	28	50	12	12
ID=fig|208479.6.peg.26;Name=Uncharacterized DUF554 membrane protein	0	0	4	1	2	0	8	0	0	2	2	6	4	4	2
ID=fig|208479.6.peg.27;Name=Aspartate aminotransferase (EC 2.6.1.1);Ontology_term=KEGG_ENZYME:2.6.1.1	8	20	10	4	22	4	16	6	2	34	10	14	28	0	13
ID=fig|208479.6.peg.28;Name=acetobutylicum phosphotransbutyrylase	0	4	2	4	4	2	4	0	4	6	2	2	2	2	1
ID=fig|208479.6.peg.29;Name=tRNA pseudouridine(38-40) synthase (EC 5.4.99.12);Ontology_term=KEGG_ENZYME:5.4.99.12	0	4	2	4	2	2	6	0	0	2	6	2	0	6	0
ID=fig|208479.6.peg.30;Name=Cobalt-zinc-cadmium resistance protein	7	21	11	4	23	10	22	11	1	17	10	48	25	12	3
ID=fig|208479.6.peg.31;Name=sigma-70 region 2	44	27	41	25	31	38	48	35	11	27	15	56	48	62	23
ID=fig|208479.6.peg.32;Name=Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)	0	0	0	0	0	0	0	0	2	0	2	0	4	0	0
ID=fig|208479.6.peg.33;Name=FIG00253438: hypothetical protein	4	6	6	2	6	2	2	2	2	10	0	0	4	2	0
ID=fig|208479.6.peg.34;Name=hypothetical protein	0	38	42	22	45	16	26	10	28	6	24	12	6	44	4
ID=fig|208479.6.peg.35;Name=hypothetical protein	2	2	4	6	8	2	6	2	4	6	6	6	12	10	2
ID=fig|208479.6.peg.36;Name=Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	4	2	0	0	4	2	0	0	2	1	4	2	0	2	6
ID=fig|208479.6.peg.37;Name=Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	0	7	4	0	0	2	2	0	2	7	2	6	2	5	0
ID=fig|208479.6.peg.38;Name=Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)	2	3	8	0	6	2	6	2	2	16	10	10	6	6	2
ID=fig|208479.6.peg.39;Name=Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	4	2	4	4	0	0	2	0	6	26	8	30	2	3	4
ID=fig|208479.6.peg.40;Name=Dipeptide-binding ABC transporter%2C periplasmic substrate-binding component (TC 3.A.1.5.2)	2	8	10	0	0	2	0	0	2	28	16	30	16	20	0
ID=fig|208479.6.peg.41;Name=N-ethylammeline chlorohydrolase	0	6	2	0	2	0	2	2	0	2	6	12	2	2	2
ID=fig|208479.6.peg.42;Name=hypothetical protein	4	4	2	2	0	2	6	4	6	22	8	24	4	6	0
ID=fig|208479.6.peg.43;Name=hypothetical protein	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|208479.6.peg.44;Name=Acyl-acyl carrier protein thioesterase	6	8	13	2	20	4	6	2	9	30	14	38	16	12	2
ID=fig|208479.6.peg.45;Name=Uncharacterized S1 RNA binding domain protein YitL	10	26	8	4	11	10	16	4	5	26	9	24	22	12	14
ID=fig|208479.6.peg.46;Name=hypothetical protein BH3604	6	58	56	22	43	35	40	12	21	73	41	75	75	42	26
ID=fig|208479.6.peg.47;Name=Maltodextrin ABC transporter%2C ATP-binding protein MsmX	213	767	466	294	619	375	500	322	410	797	610	654	1414	514	384
ID=fig|208479.6.peg.48;Name=Sugar diacid utilization regulator SdaR	178	405	327	159	387	224	494	191	229	652	397	610	618	319	275
ID=fig|208479.6.peg.49;Name=Cell-division-associated%2C ABC-transporter-like signaling protein FtsE	98	235	159	96	171	113	218	85	111	316	164	287	254	201	134
ID=fig|208479.6.peg.50;Name=Cell-division-associated%2C ABC-transporter-like signaling protein FtsX	24	33	16	10	26	17	11	10	6	37	29	39	14	16	13
ID=fig|208479.6.peg.51;Name=Murein hydrolase activator EnvC	10	38	48	10	22	8	15	16	12	56	39	77	30	20	14
ID=fig|208479.6.peg.52;Name=Carboxyl-terminal protease (EC 3.4.21.102);Ontology_term=KEGG_ENZYME:3.4.21.102	66	135	86	36	82	58	90	36	44	173	117	181	124	108	84
ID=fig|208479.6.peg.53;Name=hypothetical protein	0	0	0	0	0	0	0	0	2	0	0	0	2	0	2
ID=fig|208479.6.peg.54;Name=Acetyltransferase%2C GNAT family	3	8	0	6	2	0	22	2	5	10	4	6	10	4	5
ID=fig|208479.6.peg.55;Name=Excinuclease ABC subunit B	7	12	2	12	6	2	14	0	10	13	10	10	6	6	7
ID=fig|208479.6.peg.56;Name=FIG01117768: hypothetical protein	1	0	0	0	0	0	0	0	0	4	0	2	0	2	0
ID=fig|208479.6.peg.57;Name=Chromosome (plasmid) partitioning protein ParA	1	0	6	2	0	2	0	0	0	8	2	8	2	4	2
ID=fig|208479.6.peg.58;Name=Chromosome (plasmid) partitioning protein ParB	0	4	0	0	0	4	2	0	0	6	2	6	2	4	2
ID=fig|208479.6.peg.59;Name=hypothetical protein	2	0	0	0	0	0	0	0	0	0	2	2	0	0	2
ID=fig|208479.6.peg.60;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|208479.6.peg.61;Name=hypothetical protein	12	4	2	5	0	2	0	2	2	4	8	4	2	2	0
ID=fig|208479.6.peg.62;Name=hypothetical protein	2	4	0	1	0	0	0	0	0	4	4	0	0	0	0
ID=fig|208479.6.peg.63;Name=hypothetical protein	4	6	10	0	10	2	10	4	6	6	10	8	4	14	4
ID=fig|208479.6.peg.64;Name=hypothetical protein	8	10	18	6	14	2	8	0	2	12	8	18	8	12	2
ID=fig|208479.6.peg.65;Name=Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-);Ontology_term=KEGG_ENZYME:3.2.1.-	2	10	4	0	2	0	2	2	4	6	2	5	0	0	0
ID=fig|208479.6.peg.66;Name=hypothetical protein	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0
ID=fig|208479.6.peg.67;Name=hypothetical protein	0	0	4	2	0	0	0	0	2	2	0	0	0	0	0
ID=fig|208479.6.peg.68;Name=FIG00519347: hypothetical protein	6	4	4	2	2	0	0	0	4	12	4	2	4	6	4
ID=fig|208479.6.peg.69;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|208479.6.peg.70;Name=hypothetical protein	0	0	0	0	0	0	0	2	0	2	0	2	0	0	0
ID=fig|208479.6.peg.71;Name=hypothetical protein	0	2	2	0	0	0	0	0	0	2	2	4	2	2	0
ID=fig|208479.6.peg.72;Name=hypothetical protein	0	2	0	0	2	0	0	0	0	0	0	2	2	0	0
ID=fig|208479.6.peg.73;Name=Possible plasmid transfer factor%2C TraK	2	0	2	2	2	0	2	0	0	2	0	8	4	0	0
ID=fig|208479.6.peg.74;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.75;Name=hypothetical protein	3	5	2	2	2	0	11	0	0	0	0	0	3	0	3
ID=fig|208479.6.peg.76;Name=hypothetical protein	20	59	36	36	43	32	114	19	74	83	44	32	60	46	22
ID=fig|208479.6.peg.77;Name=Metal-dependent phosphohydrolase	48	35	22	26	34	13	70	15	35	27	19	6	53	26	10
ID=fig|208479.6.repeat.3;Name=repeat region	0	2	3	0	2	2	2	0	2	2	0	2	1	4	2
ID=fig|208479.6.peg.78;Name=Mobile element protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.79;Name=hypothetical protein	0	2	0	0	2	0	0	0	2	0	4	0	0	0	0
ID=fig|208479.6.peg.80;Name=FIG00646873: hypothetical protein	0	1	0	0	0	0	2	2	0	0	0	4	2	0	0
ID=fig|208479.6.peg.81;Name=Sensory box histidine kinase/response regulator	12	19	6	4	22	0	22	2	22	14	16	16	20	8	6
ID=fig|208479.6.peg.82;Name=ABC transporter%2C substrate-binding protein (cluster 1%2C maltose/g3p/polyamine/iron)	8	0	0	3	2	4	20	2	4	5	10	6	8	6	4
ID=fig|208479.6.peg.83;Name=Mobile element protein	6	10	4	2	8	4	6	0	10	5	16	8	14	10	8
ID=fig|208479.6.peg.84;Name=hypothetical protein	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0
ID=fig|208479.6.peg.85;Name=hypothetical protein	0	0	2	0	0	0	0	2	0	4	0	1	3	2	2
ID=fig|208479.6.peg.86;Name=diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)	0	13	6	6	10	2	3	0	4	11	10	4	14	8	4
ID=fig|208479.6.peg.87;Name=hypothetical protein	1	2	0	0	0	0	1	0	0	4	0	0	0	0	0
ID=fig|208479.6.peg.88;Name=hypothetical protein	13	14	4	4	6	4	17	0	10	12	8	16	10	4	2
ID=fig|208479.6.peg.89;Name=hypothetical protein	4	0	0	2	2	0	2	0	0	4	1	4	2	4	0
ID=fig|208479.6.peg.90;Name=Sensory box histidine kinase/response regulator	77	72	35	41	54	43	111	18	60	67	49	46	76	39	15
ID=fig|208479.6.peg.91;Name=hypothetical protein	2	5	2	2	3	2	4	6	0	14	12	6	3	2	0
ID=fig|208479.6.repeat.4;Name=repeat region	0	5	0	0	1	0	2	0	0	5	0	2	1	0	0
ID=fig|208479.6.peg.92;Name=hypothetical protein	0	0	0	0	2	0	2	0	0	2	4	0	0	0	0
ID=fig|208479.6.peg.93;Name=hypothetical protein	4	0	0	0	0	0	2	0	0	0	2	0	0	0	2
ID=fig|208479.6.peg.94;Name=hypothetical protein	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|208479.6.peg.95;Name=Thioredoxin reductase (EC 1.8.1.9);Ontology_term=KEGG_ENZYME:1.8.1.9	12	7	6	2	18	4	12	2	9	22	13	18	24	14	8
ID=fig|208479.6.peg.96;Name=hypothetical protein	8	14	16	4	10	4	22	0	15	14	13	16	22	14	4
ID=fig|208479.6.peg.97;Name=Co-activator of prophage gene expression IbrA	0	6	4	6	2	0	8	4	0	2	3	2	4	0	2
ID=fig|208479.6.peg.98;Name=Site-specific recombinase	82	151	130	90	177	144	254	162	144	157	63	100	111	129	94
ID=fig|208479.6.peg.99;Name=FIG01031907: hypothetical protein	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.100;Name=Helicase loader DnaI	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|208479.6.peg.101;Name=DNA replication protein DnaD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.102;Name=FIG00542958: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.103;Name=FIG00514472: hypothetical protein	1	4	0	1	0	0	0	4	2	4	8	4	2	2	2
ID=fig|208479.6.peg.104;Name=FIG00521858: hypothetical protein	0	3	4	0	2	0	1	0	0	3	0	1	10	1	0
ID=fig|208479.6.peg.105;Name=hypothetical protein	0	2	0	8	4	0	3	0	2	9	0	3	8	3	2
ID=fig|208479.6.peg.106;Name=hypothetical protein	6	2	0	2	4	0	2	0	4	4	2	8	4	3	2
ID=fig|208479.6.peg.107;Name=ATP-dependent DNA helicase rep (EC 3.6.1.-);Ontology_term=KEGG_ENZYME:3.6.1.-	6	0	0	2	6	0	6	0	0	8	0	2	6	4	6
ID=fig|208479.6.peg.108;Name=hypothetical protein	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
ID=fig|208479.6.peg.109;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.110;Name=Co-activator of prophage gene expression IbrA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.111;Name=Co-activator of prophage gene expression IbrB	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.112;Name=hypothetical protein	0	0	0	2	2	2	2	0	0	0	0	1	0	0	2
ID=fig|208479.6.peg.113;Name=Lactoylglutation lyase	13	9	6	4	0	8	4	0	17	6	0	6	4	1	1
ID=fig|208479.6.peg.114;Name=hypothetical protein	10	4	3	4	4	8	4	6	8	12	16	8	11	4	2
ID=fig|208479.6.peg.115;Name=hypothetical protein	8	8	6	2	4	4	4	0	4	2	5	9	9	0	6
ID=fig|208479.6.peg.116;Name=hypothetical protein	2	8	0	2	0	10	10	0	14	4	17	9	15	6	6
ID=fig|208479.6.peg.117;Name=hypothetical protein	4	2	8	0	2	4	0	2	4	2	2	2	10	2	8
ID=fig|208479.6.peg.118;Name=FIG01116341: hypothetical protein	10	6	4	17	4	4	8	0	14	2	6	6	8	4	2
ID=fig|208479.6.peg.119;Name=Transcriptional regulator%2C MerR family	24	4	4	8	7	10	20	0	9	10	9	8	19	4	4
ID=fig|208479.6.peg.120;Name=Two-component response regulator DSY3689	0	2	0	0	0	2	0	0	0	0	2	4	0	0	0
ID=fig|208479.6.peg.121;Name=Two component system histidine kinase DSY3688	3	2	2	0	0	2	0	2	6	4	2	8	6	4	4
ID=fig|208479.6.peg.122;Name=hypothetical protein	3	3	8	0	0	2	2	0	4	3	2	4	0	0	4
ID=fig|208479.6.peg.123;Name=hypothetical protein	26	30	42	36	39	18	62	34	91	54	114	264	19	68	16
ID=fig|208479.6.peg.124;Name=hypothetical protein	4	7	0	4	10	10	12	5	16	6	11	6	10	12	5
ID=fig|208479.6.peg.125;Name=hypothetical protein	2	5	4	2	4	3	8	0	7	3	3	8	5	3	4
ID=fig|208479.6.peg.126;Name=hypothetical protein	0	6	6	5	6	4	8	5	12	1	3	8	1	5	0
ID=fig|208479.6.peg.127;Name=hypothetical protein	2	6	2	7	15	7	13	7	10	7	8	14	0	11	5
ID=fig|208479.6.peg.128;Name=hypothetical protein	9	30	18	46	54	24	44	12	53	50	42	28	36	39	11
ID=fig|208479.6.peg.129;Name=Two-component response regulator DSY3689	1	2	0	1	2	2	4	0	4	0	0	4	2	0	2
ID=fig|208479.6.peg.130;Name=Two component system histidine kinase DSY3688	5	0	2	1	2	4	4	0	4	2	2	16	2	4	0
ID=fig|208479.6.peg.131;Name=Transcriptional regulator%2C AraC family	0	0	0	0	4	6	2	0	2	6	2	2	4	4	0
ID=fig|208479.6.peg.132;Name=hypothetical protein	0	0	0	2	0	0	2	0	0	0	0	0	2	0	2
ID=fig|208479.6.peg.133;Name=N-Acetyl-D-glucosamine ABC transport system%2C sugar-binding protein	4	0	4	2	0	14	4	0	2	2	0	10	0	0	4
ID=fig|208479.6.peg.134;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2
ID=fig|208479.6.peg.135;Name=hypothetical protein	2	4	0	0	2	11	2	2	4	2	2	12	2	0	0
ID=fig|208479.6.peg.136;Name=hypothetical protein	2	0	0	2	4	31	0	4	6	0	0	10	6	3	4
ID=fig|208479.6.peg.137;Name=N-Acetyl-D-glucosamine ABC transport system%2C permease protein	0	4	2	0	2	16	0	0	0	0	2	2	2	1	0
ID=fig|208479.6.peg.138;Name=ABC transporter%2C permease protein 2 (cluster 1%2C maltose/g3p/polyamine/iron)	0	2	0	0	0	12	0	0	8	2	0	4	2	0	0
ID=fig|208479.6.peg.139;Name=SN-glycerol-3-phosphate transport ATP-binding protein UgpC (TC 3.A.1.1.3)	0	0	2	0	0	12	0	0	0	0	2	2	2	0	0
ID=fig|208479.6.peg.140;Name=Teicoplanin resistance protein vanZ	0	0	2	0	2	2	0	0	2	0	0	4	10	0	0
ID=fig|208479.6.peg.141;Name=hypothetical protein	1	1	8	1	2	2	2	2	6	2	8	9	10	8	8
ID=fig|208479.6.peg.142;Name=Co-activator of prophage gene expression IbrA	140	105	137	51	125	64	143	68	96	177	158	211	324	106	89
ID=fig|208479.6.peg.143;Name=Co-activator of prophage gene expression IbrB	30	46	32	20	26	32	31	8	48	38	30	33	67	22	19
ID=fig|208479.6.peg.144;Name=MBL-fold metallo-hydrolase superfamily	0	2	4	2	2	3	11	2	8	6	12	16	4	4	6
ID=fig|208479.6.peg.145;Name=Lactoylglutation lyase	22	13	12	0	11	10	23	4	18	25	21	28	12	11	9
ID=fig|208479.6.peg.146;Name=hypothetical protein	6	13	0	6	4	4	0	2	2	8	4	13	10	2	1
ID=fig|208479.6.peg.147;Name=hypothetical protein	3	4	0	2	2	6	1	0	4	6	4	11	7	1	3
ID=fig|208479.6.peg.148;Name=hypothetical protein	73	20	22	10	24	6	42	3	58	53	93	123	54	37	26
ID=fig|208479.6.peg.149;Name=hypothetical protein	0	4	2	4	6	0	9	0	5	5	7	9	8	2	12
ID=fig|208479.6.peg.150;Name=hypothetical protein	0	4	2	4	0	0	4	0	1	6	3	3	0	0	6
ID=fig|208479.6.peg.151;Name=hypothetical protein	0	10	8	4	1	0	5	4	8	7	6	5	6	4	0
ID=fig|208479.6.peg.152;Name=hypothetical protein	0	0	2	0	5	0	2	0	2	2	2	8	0	0	5
ID=fig|208479.6.peg.153;Name=hypothetical protein	35	28	28	13	11	9	29	11	22	33	21	41	24	14	15
ID=fig|208479.6.peg.154;Name=hypothetical protein	80	85	70	36	73	43	62	19	71	80	82	114	124	55	51
ID=fig|208479.6.peg.155;Name=hypothetical protein	0	3	0	0	2	0	0	1	3	1	1	2	0	0	1
ID=fig|208479.6.peg.156;Name=Acetyltransferase%2C GNAT family	15	17	5	2	4	6	13	2	9	13	11	12	4	12	6
ID=fig|208479.6.peg.157;Name=hypothetical protein	5	3	6	0	0	0	7	0	7	6	4	4	4	3	2
ID=fig|208479.6.peg.158;Name=hypothetical protein	7	10	2	3	0	5	8	0	2	4	6	4	10	4	3
ID=fig|208479.6.peg.159;Name=hypothetical protein	12	26	14	13	10	16	30	4	18	16	13	10	22	10	12
ID=fig|208479.6.peg.160;Name=Inositol-1-monophosphatase (EC 3.1.3.25);Ontology_term=KEGG_ENZYME:3.1.3.25	6	35	26	10	27	20	41	0	35	29	19	36	40	32	20
ID=fig|208479.6.peg.161;Name=hypothetical protein	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0
ID=fig|208479.6.peg.162;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.163;Name=hypothetical protein	2	0	0	0	0	0	0	0	0	2	0	2	0	2	0
ID=fig|208479.6.peg.164;Name=hypothetical protein	135	44	42	70	54	50	82	22	88	50	78	98	72	96	18
ID=fig|208479.6.peg.165;Name=N-acetyl-L%2CL-diaminopimelate deacetylase (EC 3.5.1.47);Ontology_term=KEGG_ENZYME:3.5.1.47	0	8	4	4	2	0	8	0	10	8	0	6	12	2	6
ID=fig|208479.6.peg.166;Name=hypothetical protein	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|208479.6.peg.167;Name=hypothetical protein	1	0	6	0	0	0	0	0	2	0	0	0	2	0	2
ID=fig|208479.6.peg.168;Name=hypothetical protein	1	2	2	0	2	0	2	0	0	2	0	2	2	0	0
ID=fig|208479.6.peg.169;Name=Putative transposase	8	4	4	10	20	0	20	15	8	8	7	17	12	11	10
ID=fig|208479.6.peg.170;Name=ABC transporter-coupled two-component system%2C LuxR family response regulator	12	15	14	18	15	20	35	15	38	20	27	37	22	13	12
ID=fig|208479.6.peg.171;Name=Osmosensitive K+ channel histidine kinase KdpD (EC 2.7.3.-);Ontology_term=KEGG_ENZYME:2.7.3.-	34	47	42	35	72	35	107	71	103	37	52	55	62	36	28
ID=fig|208479.6.peg.172;Name=ABC transporter-coupled two-component system%2C ATP-binding protein	45	49	44	29	60	44	126	55	68	17	24	24	35	38	18
ID=fig|208479.6.peg.173;Name=FIG00512830: hypothetical protein	104	181	148	141	262	236	478	296	321	161	148	183	241	130	150
ID=fig|208479.6.peg.174;Name=Ribosomal protein S1	2	2	6	0	6	0	0	0	4	8	4	12	0	0	0
ID=fig|208479.6.peg.175;Name=hypothetical protein	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|208479.6.peg.176;Name=hypothetical protein	2	20	14	2	8	8	8	8	7	12	4	18	2	12	0
ID=fig|208479.6.peg.177;Name=Choline binding protein A	20	47	40	12	30	10	12	6	12	31	26	48	10	38	2
ID=fig|208479.6.peg.178;Name=hypothetical protein	0	1	0	1	0	0	0	0	0	3	0	0	0	6	0
ID=fig|208479.6.peg.179;Name=Choline binding protein A	14	10	12	7	8	8	6	4	4	5	4	10	2	8	0
ID=fig|208479.6.peg.180;Name=RecD-like DNA helicase YrrC	18	44	32	6	8	14	10	6	18	32	26	62	8	28	8
ID=fig|208479.6.peg.181;Name=hypothetical protein	1	2	0	2	4	0	2	0	0	0	2	2	2	2	0
ID=fig|208479.6.peg.182;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
ID=fig|208479.6.peg.183;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|208479.6.peg.184;Name=Transcriptional regulator%2C AcrR family	602	182	203	36	117	24	32	24	54	549	601	1054	32	399	22
ID=fig|208479.6.peg.185;Name=Efflux ABC transporter%2C ATP-binding protein	234	112	177	24	50	8	46	12	40	494	456	1153	12	295	2
ID=fig|208479.6.peg.186;Name=FIG00526416: hypothetical protein	55	66	91	6	41	13	21	10	13	277	240	457	6	135	0
ID=fig|208479.6.peg.187;Name=D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4);Ontology_term=KEGG_ENZYME:3.4.16.4	95	108	169	16	76	19	25	20	22	356	387	670	16	234	8
ID=fig|208479.6.peg.188;Name=Cobalt-zinc-cadmium resistance protein	160	228	391	47	246	38	59	39	39	835	644	1426	24	477	20
ID=fig|208479.6.peg.189;Name=hypothetical protein	951	254	181	71	128	48	66	49	129	849	452	1028	28	680	26
ID=fig|208479.6.peg.190;Name=hypothetical protein	0	0	2	0	2	0	2	0	2	2	2	2	2	0	0
ID=fig|208479.6.peg.191;Name=hypothetical protein	59	34	7	88	33	38	159	32	145	56	47	38	109	34	73
ID=fig|208479.6.peg.192;Name=hypothetical protein	103	56	19	69	79	47	252	94	201	88	91	65	172	25	100
ID=fig|208479.6.peg.193;Name=hypothetical protein	0	0	0	0	0	2	0	2	0	0	0	0	0	2	1
ID=fig|208479.6.peg.194;Name=Ser-type protease	10	32	20	20	28	32	48	10	22	24	18	26	60	17	13
ID=fig|208479.6.peg.195;Name=hypothetical protein	0	2	1	0	2	0	0	0	3	0	2	0	4	3	2
ID=fig|208479.6.peg.196;Name=hypothetical protein	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.197;Name=hypothetical protein	2	0	2	0	0	0	0	0	0	0	0	0	0	2	0
ID=fig|208479.6.peg.198;Name=hypothetical protein	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|208479.6.peg.199;Name=Transcriptional regulator%2C AcrR family	2	0	8	0	5	3	8	2	6	5	12	0	13	2	4
ID=fig|208479.6.peg.200;Name=Phosphoenolpyruvate synthase (EC 2.7.9.2);Ontology_term=KEGG_ENZYME:2.7.9.2	12	26	18	20	17	11	50	10	32	41	24	30	48	24	12
ID=fig|208479.6.peg.201;Name=hypothetical protein	8	12	14	14	16	8	23	4	18	15	21	24	19	12	4
ID=fig|208479.6.peg.202;Name=hypothetical protein	2	2	0	0	4	0	4	0	2	2	0	2	2	4	0
ID=fig|208479.6.peg.203;Name=hypothetical protein	0	2	2	0	0	0	2	0	4	3	4	4	3	2	0
ID=fig|208479.6.peg.204;Name=hypothetical protein	6	4	2	0	0	0	4	0	0	2	2	4	2	2	0
ID=fig|208479.6.peg.205;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
