Superclass	Class	Subclass	Subsystem.Name	Role.ID	Role.Name	Active	Gene	Product	Organism
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.45	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.46	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.47	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.48	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.49	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.50	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.51	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.52	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.repeat.6	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.53	NA	BP
METABOLISM	Sulfur Metabolism	Adaptation to d-cysteine	Adaptation to d-cysteine	D-cysteine_desulfhydrase_(EC_4.4.1.15)	D-cysteine desulfhydrase (EC 4.4.1.15)	likely	fig|33035.10.peg.54	D-cysteine desulfhydrase (EC 4.4.1.15)	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.55	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.56	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.repeat.7	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.57	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.58	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.59	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.60	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.61	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.62	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.63	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.64	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.65	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.66	NA	BP
CELLULAR PROCESSES	Cell Cycle, Cell Division and Death	Programmed Cell Death and Toxin-antitoxin Systems	Toxin-Antitoxin system HigAB	Antitoxin_HigA	Antitoxin HigA	likely	fig|33035.10.peg.67	Antitoxin HigA / unknown domain	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.68	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.69	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.70	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.71	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.72	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.73	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.74	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.75	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.76	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.77	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.78	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.79	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.80	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.81	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.82	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.83	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.84	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_array.1	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_repeat.1	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_spacer.1	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_repeat.2	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_spacer.2	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_repeat.3	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_spacer.3	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_repeat.4	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_spacer.4	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_repeat.5	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_spacer.5	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_repeat.6	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_spacer.6	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_repeat.7	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_spacer.7	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_repeat.8	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_spacer.8	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_repeat.9	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_spacer.9	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_repeat.10	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_spacer.10	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.crispr_repeat.11	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.85	NA	BP
METABOLISM	Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Acyl-CoA:1-acyl-sn-glycerol-3-phosphate_acyltransferase_(EC_2.3.1.51)	Acyl-CoA:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	active	fig|33035.10.peg.86	Acyl-CoA:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	BP
CELLULAR PROCESSES	Cell Cycle, Cell Division and Death	FtsEX cell-division-associated signaling system	FtsEX cell-division-associated signaling system	Acyl-CoA:1-acyl-sn-glycerol-3-phosphate_acyltransferase_(EC_2.3.1.51)	Acyl-CoA:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	active	fig|33035.10.peg.86	Acyl-CoA:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.87	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.88	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.89	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.90	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.91	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.92	NA	BP
METABOLISM	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Nonmevalonate Branch of Isoprenoid Biosynthesis	4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase_(EC_2.7.1.148)	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	active	fig|33035.10.peg.93	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.94	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.95	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.96	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.97	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.98	NA	BP
METABOLISM	Amino Acids and Derivatives	Amino acid racemase	Amino acid racemase	Glutamate_racemase_(EC_5.1.1.3)	Glutamate racemase (EC 5.1.1.3)	active	fig|33035.10.peg.99	Glutamate racemase (EC 5.1.1.3)	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.100	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.101	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.102	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.103	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.104	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.105	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.106	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.107	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.108	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.109	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.110	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.111	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.112	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.113	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.114	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.115	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.116	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.117	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.118	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.119	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.120	NA	BP
PROTEIN PROCESSING	Protein Synthesis	Aminoacyl-tRNA-synthetases	tRNA aminoacylation, Asn	Asparaginyl-tRNA_synthetase_(EC_6.1.1.22)	Asparaginyl-tRNA synthetase (EC 6.1.1.22)	active	fig|33035.10.peg.121	Asparaginyl-tRNA synthetase (EC 6.1.1.22)	BP
DNA PROCESSING	DNA Processing	DNA repair	DNA repair, bacterial SbcCD exonuclease	Exonuclease_SbcD	Exonuclease SbcD	active	fig|33035.10.peg.122	Exonuclease SbcD	BP
DNA PROCESSING	DNA Processing	DNA repair	DNA repair, bacterial SbcCD exonuclease	Exonuclease_SbcC	Exonuclease SbcC	active	fig|33035.10.peg.123	Exonuclease SbcC	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.124	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.125	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.126	NA	BP
ENERGY	Energy and Precursor Metabolites Generation	Central Metabolism	Pentose phosphate pathway	Ribose-phosphate_pyrophosphokinase_(EC_2.7.6.1)	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	active	fig|33035.10.peg.127	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	BP
METABOLISM	Nucleosides and Nucleotides	Purines	DeNovo Purine Biosynthesis	Ribose-phosphate_pyrophosphokinase_(EC_2.7.6.1)	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	active	fig|33035.10.peg.127	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.128	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.129	NA	BP
CELLULAR PROCESSES	Cell Cycle, Cell Division and Death	Cell division cluster	Cell division cluster	UDP-N-acetylmuramate--L-alanine_ligase_(EC_6.3.2.8)	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)	likely	fig|33035.10.peg.130	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)	BP
METABOLISM	Carbohydrates	Polysaccharides	Glycogen metabolism	Glucose-1-phosphate_adenylyltransferase_(EC_2.7.7.27)	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	active	fig|33035.10.peg.131	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	BP
METABOLISM	Carbohydrates	Polysaccharides	Glycogen metabolism	Glucose-1-phosphate_adenylyltransferase_(EC_2.7.7.27)	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	active	fig|33035.10.peg.132	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	BP
CELLULAR PROCESSES	Prokaryotic cell type differentiation	Sporulation	Sporulation-associated proteins with broader functions	DNA-binding_protein_SpoVG	DNA-binding protein SpoVG	active	fig|33035.10.peg.133	DNA-binding protein SpoVG	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.134	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.135	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.136	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.137	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.138	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.139	NA	BP
METABOLISM	Carbohydrates	Di- and oligosaccharides	Galactose utilization	Galactose_operon_repressor,_GalR-LacI_family_of_transcriptional_regulators	Galactose operon repressor, GalR-LacI family of transcriptional regulators	active	fig|33035.10.peg.140	Galactose operon repressor, GalR-LacI family of transcriptional regulators	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.141	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.142	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.rna.1	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.143	NA	BP
METABOLISM	Nucleosides and Nucleotides	Ribonucleotide reduction	Ribonucleotide reduction	Ribonucleotide_reductase_of_class_III_(anaerobic),_activating_protein_(EC_1.97.1.4)	Ribonucleotide reductase of class III (anaerobic), activating protein (EC 1.97.1.4)	active	fig|33035.10.peg.144	Ribonucleotide reductase of class III (anaerobic), activating protein (EC 1.97.1.4)	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.rna.2	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.145	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.146	NA	BP
METABOLISM	Carbohydrates	C-1 compound metabolism	S-Adenosyl-L-homocysteine recycling	5-methyltetrahydrofolate--homocysteine_methyltransferase_(EC_2.1.1.13)	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	active	fig|33035.10.peg.147	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	BP
METABOLISM	Carbohydrates	CO2 fixation	Acetyl-CoA Pathway Wood-Ljungdahl	5-methyltetrahydrofolate--homocysteine_methyltransferase_(EC_2.1.1.13)	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	active	fig|33035.10.peg.147	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.148	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.149	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.150	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.151	NA	BP
DNA PROCESSING	DNA Processing	DNA uptake, competence	DNA processing cluster	DNA_polymerase_III_subunits_gamma_and_tau_(EC_2.7.7.7)	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)	active	fig|33035.10.peg.152	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)	BP
DNA PROCESSING	DNA Processing	DNA uptake, competence	DNA processing cluster	Nucleoid-associated_protein_YaaK	Nucleoid-associated protein YaaK	active	fig|33035.10.peg.153	Nucleoid-associated protein YaaK	BP
DNA PROCESSING	DNA Processing	DNA repair	DNA repair, bacterial RecFOR pathway	Nucleoid-associated_protein_YaaK	Nucleoid-associated protein YaaK	active	fig|33035.10.peg.153	Nucleoid-associated protein YaaK	BP
DNA PROCESSING	DNA Processing	DNA uptake, competence	DNA processing cluster	Recombination_protein_RecR	Recombination protein RecR	active	fig|33035.10.peg.154	Recombination protein RecR	BP
DNA PROCESSING	DNA Processing	DNA repair	DNA repair, bacterial RecFOR pathway	Recombination_protein_RecR	Recombination protein RecR	active	fig|33035.10.peg.154	Recombination protein RecR	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.155	NA	BP
ENERGY	Energy and Precursor Metabolites Generation	Central Metabolism	Pentose phosphate pathway	Transaldolase_(EC_2.2.1.2)	Transaldolase (EC 2.2.1.2)	active	fig|33035.10.peg.156	Transaldolase (EC 2.2.1.2)	BP
ENERGY	Energy and Precursor Metabolites Generation	Central Metabolism	Pentose phosphate pathway	Transketolase,_N-terminal_section_(EC_2.2.1.1)	Transketolase, N-terminal section (EC 2.2.1.1)	active	fig|33035.10.peg.157	Transketolase, N-terminal section (EC 2.2.1.1)	BP
ENERGY	Energy and Precursor Metabolites Generation	Central Metabolism	Pentose phosphate pathway	Transketolase,_C-terminal_section_(EC_2.2.1.1)	Transketolase, C-terminal section (EC 2.2.1.1)	active	fig|33035.10.peg.158	Transketolase, C-terminal section (EC 2.2.1.1)	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.159	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.160	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.161	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.162	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.163	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.164	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.165	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.166	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.167	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.168	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.169	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.repeat.8	NA	BP
STRESS RESPONSE, DEFENSE, VIRULENCE	Stress Response, Defense and Virulence	Resistance to antibiotics and toxic compounds	Antibiotic targets in protein synthesis	SSU_rRNA	SSU rRNA	active	fig|33035.10.rna.3	SSU rRNA ## 16S rRNA, small subunit ribosomal RNA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.170	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.rna.4	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.rna.5	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.repeat.9	NA	BP
STRESS RESPONSE, DEFENSE, VIRULENCE	Stress Response, Defense and Virulence	Resistance to antibiotics and toxic compounds	Antibiotic targets in protein synthesis	LSU_rRNA	LSU rRNA	active	fig|33035.10.rna.6	LSU rRNA ## 23S rRNA, large subunit ribosomal RNA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.rna.7	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.rna.8	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.rna.9	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.rna.10	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.rna.11	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.rna.12	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.171	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.172	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.173	NA	BP
ENERGY	Energy and Precursor Metabolites Generation	Fermentation	Fermentations: Mixed acid	L-lactate_dehydrogenase_(EC_1.1.1.27)	L-lactate dehydrogenase (EC 1.1.1.27)	likely	fig|33035.10.peg.174	L-lactate dehydrogenase (EC 1.1.1.27)	BP
ENERGY	Energy and Precursor Metabolites Generation	Fermentation	Fermentations: Lactate	L-lactate_dehydrogenase_(EC_1.1.1.27)	L-lactate dehydrogenase (EC 1.1.1.27)	active	fig|33035.10.peg.174	L-lactate dehydrogenase (EC 1.1.1.27)	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.175	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.176	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.177	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.178	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.179	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.180	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.181	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.182	NA	BP
METABOLISM	Cofactors, Vitamins, Prosthetic Groups	NAD and NADP	NAD and NADP cofactor biosynthesis global	L-aspartate_oxidase_(EC_1.4.3.16)	L-aspartate oxidase (EC 1.4.3.16)	active	fig|33035.10.peg.183	L-aspartate oxidase (EC 1.4.3.16)	BP
METABOLISM	Cofactors, Vitamins, Prosthetic Groups	NAD and NADP	NAD and NADP cofactor biosynthesis bacterial	L-aspartate_oxidase_(EC_1.4.3.16)	L-aspartate oxidase (EC 1.4.3.16)	active	fig|33035.10.peg.183	L-aspartate oxidase (EC 1.4.3.16)	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.184	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.185	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.186	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.187	NA	BP
NA	NA	NA	NA	NA	NA	NA	fig|33035.10.peg.188	NA	BP
